Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2021,Jonathan Adams,Arkansas State,WR,74,210,9.875,32.125,,4.59,,39,132,4.38,7.04,
2021,Paulson Adebo,Stanford,CB,73,198,10,31.5,,4.45,18,36.5,121,4.13,6.69,
2021,DAngelo Amos,Virginia,FS,71.75,191,9,32.25,,4.58,11,34.5,119,4.33,6.98,
2021,Jack Anderson,Texas Tech,OG,76.63,314,10,31.875,,5.27,27,29.5,105,4.83,7.88,
2021,Otis Anderson,Central Florida,RB,67.5,179,9,31.125,,4.65,11,36,113,4.42,7.04,
2021,Zayne Anderson,Brigham Young,FS,73.88,206,9.75,31.25,,4.44,11,34,120,4.2,6.78,
2021,Cary Angeline,North Carolina State,TE,78.5,245,10,33,,4.89,12,29,109,4.59,7.19,
2021,Rayshard Ashby,Virginia Tech,ILB,70.25,232,8.375,31,,4.93,24,31.5,114,4.32,7.17,
2021,Calvin Ashley,Florida A&M,OT,78.13,314,10.125,34.25,,5.55,15,29,105,5,8.46,
2021,Tutu Atwell,Louisville,WR,68.88,155,8.875,29.25,,4.39,,33,117,4.09,6.87,
2021,Jhamon Ausbon,Texas A&M,WR,74.38,217,9.875,32.375,,4.72,,33,118,4.28,6.89,
2021,Kayode Awosika,Buffalo,OG,75.13,307,9,32.625,,5.19,28,30,100,4.91,8.15,
2021,JaQuan Bailey,Iowa State,DE,73.88,246,8.5,32,,4.81,19,26.5,110,4.8,7.53,
2021,Kawaan Baker,South Alabama,WR,72.5,210,10.75,32.375,,4.45,21,39.5,129,4.41,7.42,
2021,Cagan Baldree,Texas A&M,FB,74.88,246,9.75,31.5,,5.14,17,33.5,114,4.5,7.47,
2021,Josh Ball,Marshall (WV),OT,79.38,308,10,35,,5.2,28,27.5,106,4.7,7.77,
2021,Cole Banwart,Iowa,OG,75.75,298,10.375,33.75,,5.23,20,27.5,103,4.56,7.5,
2021,Derrick Barnes,Purdue,ILB,72.38,238,9.75,33.375,,4.58,29,37,119,4.32,,
2021,Carlos Basham,Wake Forest,DE,75.25,274,9.25,32.875,,4.62,20,34,122,4.32,7.13,
2021,Rashod Bateman,Minnesota,WR,72.38,190,9.5,33,,4.43,,36,123,4.35,6.95,
2021,John Bates,Boise State,TE,77.38,250,9.625,32.5,,4.84,19,31.5,120,4.35,6.85,
2021,Tavante Beckett,Marshall (WV),OLB,70,220,10.375,32.75,,4.78,18,31,106,4.58,7.34,
2021,Chase Behrndt,West Virginia,C,75.5,324,10.375,33.5,,5.55,25,24.5,101,4.93,8.21,
2021,Turner Bernard,San Diego State,LS,72.75,233,9.125,30.375,,5.18,23,25.5,94,4.79,7.72,
2021,Shaun Beyer,Iowa,TE,76.88,250,9.75,33.25,,4.81,22,31.5,119,4.26,7.02,
2021,Tarik Black,Texas,WR,74.75,213,9.75,33.75,,4.54,15,40,132,4.26,6.91,
2021,Joshuah Bledsoe,Missouri,FS,71.38,204,9.625,30.75,,,,,103,,,
2021,Quinton Bohanna,Kentucky,DT,76,327,10.875,34,,5.48,,29,99,5.15,8.21,
2021,Nick Bolton,Missouri,ILB,71.13,237,10.375,31.875,,4.6,24,32,115,4.5,7.4,
2021,Ian Book,Notre Dame,QB,72,211,9.875,31.25,,4.65,,32.5,115,4.2,7,
2021,Dicaprio Bootle,Nebraska,CB,69.5,180,8.5,30,,4.45,16,36.5,126,4.17,6.72,
2021,Tuf Borland,Ohio State,ILB,72.25,229,10,31.375,,5,15,32.5,109,4.3,7.18,
2021,Larry Borom,Missouri,OG,76.88,322,10.375,33.125,,5.15,21,31,103,,8.04,
2021,Jose Borregales,Miami (FL),K,70,206,9.5,29,,,,,122,,,
2021,Rakeem Boyd,Arkansas,RB,71.38,213,8.625,32.5,,4.7,6,32.5,98,4.38,7.22,
2021,William Bradley-King,Baylor,DE,75.5,252,10.25,33.5,,4.79,,34.5,119,4.29,7.1,
2021,Brady Breeze,Oregon,SS,71.75,197,9.5,30.5,,4.55,20,38,120,4.23,7.03,
2021,Gary Brightwell,Arizona,RB,70.75,218,9.375,31,,4.62,17,34.5,118,4.48,7.51,
2021,K.J. Britt,Auburn,ILB,72.5,235,9.375,31,,4.76,24,32.5,118,4.4,7.38,
2021,Josiah Bronson,Washington,DT,74.88,304,9.25,31.5,,5.07,27,30,101,4.72,7.63,
2021,Deonte Brown,Alabama,OG,75.25,344,9.125,32.375,,5.57,,27,96,5.18,8.33,
2021,Earnest Brown,Northwestern,DE,76.5,270,9.75,34.5,,5.01,25,31,115,4.5,7.19,
2021,Spencer Brown,Alabama-Birmingham,RB,70.38,208,8.5,30.625,,4.64,74,36.5,121,4.39,7.38,
2021,Spencer Brown,Northern Iowa,OT,80.25,311,10.375,34.75,,4.94,29,31.5,117,4.4,6.96,
2021,Tre Brown,Oklahoma,CB,69.75,185,9.5,30.375,,4.42,13,38,123,4.27,7.11,
2021,Baron Browning,Ohio State,ILB,74.75,245,10,33.5,,4.56,23,40,130,4.22,6.78,
2021,Shane Buechele,Southern Methodist (TX),QB,72.25,210,9.375,30.25,,4.96,,30,114,4.6,7.34,
2021,Calvin Bundage,Oklahoma State,OLB,73.75,221,9.25,32.25,,4.81,14,31.5,116,4.43,7.31,
2021,Lorenzo Burns,Arizona,CB,70.38,183,8.625,30.25,,4.56,14,33.5,123,4.51,7.55,
2021,Jake Burton,Baylor,OG,77.5,303,10,32.125,,5.49,22,26,100,4.97,8.22,
2021,Rico Bussey,Hawaii,WR,72.38,186,10.125,33,,4.5,13,38.5,124,4.26,7.21,
2021,Camryn Bynum,California,CB,72.25,196,9.625,30.75,,4.58,,34,129,4.1,6.99,
2021,Jalen Camp,Georgia Tech,WR,73.88,226,9.625,33.75,,4.48,29,39.5,125,4.14,7,
2021,Kyree Campbell,Florida,DT,74.88,287,9.75,33.25,,5.41,,25,98,5.14,7.96,
2021,Michael Carter,Duke,FS,69.63,184,9.5,29.125,,4.36,13,35.5,117,4.44,6.9,
2021,Michael Carter,North Carolina,RB,67.88,201,8.75,29.125,,4.54,16,34,119,3.98,6.83,
2021,Tory Carter,Louisiana State,FB,72.38,229,9.625,30.625,,4.89,24,35.5,112,4.38,7.21,
2021,JaMarr Chase,Louisiana State,WR,72.38,201,9.625,30.75,,4.34,,41,132,3.99,6.96,
2021,Camaron Cheeseman,Michigan,LS,76.25,239,9.375,32,,5.09,17,33,110,4.58,7.57,
2021,Drue Chrisman,Ohio State,P,74.75,209,9.5,33.125,,,,,117,,,
2021,Andre Cisco,Syracuse,FS,72.63,216,10.625,32.5,,,17,,119,,,
2021,Ben Cleveland,Georgia,OG,78.25,343,9.75,33.75,,5.05,30,28,102,4.88,,
2021,Riley Cole,South Alabama,OLB,74.75,240,9.75,30.125,,4.73,26,32.5,120,4.38,7.46,
2021,Larnel Coleman,Massachusetts,OT,78.25,307,10.375,36.25,,5.17,24,31,113,4.69,7.69,
2021,Nico Collins,Michigan,WR,76.13,215,9.375,34.125,,4.45,14,37.5,125,4.32,6.79,
2021,Jonathon Cooper,Ohio State,DE,74.63,253,9.625,32.125,,4.71,28,33,108,4.31,7.02,
2021,Donnie Corley,Texas Southern,WR,73.75,195,9.25,32.375,,4.59,13,34,123,4.29,6.83,
2021,Samuel Cosmi,Texas,OT,77.88,314,10.25,33,,4.87,36,30,117,4.39,7.35,
2021,K.J. Costello,Mississippi State,QB,76.5,225,10.125,32.875,,5.11,,27.5,103,4.75,,
2021,Jabril Cox,Louisiana State,OLB,75.25,232,9,32.75,,,,,119,,,
2021,Damonte Coxie,Memphis,WR,74.13,198,8.75,33.25,,4.77,4,30.5,122,4.45,6.92,
2021,Tyler Coyle,Purdue,SS,72.5,209,9,33,,4.41,24,39,133,4.02,7.14,
2021,Daniel Crawford,Northern Illinois,TE,73.75,245,10.5,32.625,,4.7,14,32.5,113,4.45,7.19,
2021,Shaun Crawford,Notre Dame,FS,69.13,182,8.875,30.25,,4.55,12,35,116,4.13,6.7,
2021,Harry Crider,Indiana,C,74.88,307,8.875,32.75,,5.26,31,27,102,4.64,7.63,
2021,Coy Cronk,Iowa,OT,76.63,305,,,,,,,113,,,
2021,Aashari Crosswell,Arizona State,FS,72.25,205,,,,,,,101,,,
2021,Jake Curhan,California,OT,77.88,316,10.25,33,,5.45,15,24,102,4.84,8.07,
2021,Drew Dalman,Stanford,C,75.38,299,10.5,32,,5.05,33,33,109,4.51,7.33,
2021,DJ Daniel,Georgia,CB,71.75,195,9.125,33.375,,4.62,11,31,119,4.12,7.02,
2021,Frank Darby,Arizona State,WR,72,201,9.625,31.375,,4.61,19,34.5,117,4.23,7.15,
2021,Jaelon Darden,North Texas,WR,67.63,174,8.75,30.625,,4.46,11,35.5,122,4.1,6.67,
2021,Zach Davidson,Central Missouri,TE,78.63,245,9.5,32,,4.64,17,37.5,117,4.26,6.95,
2021,Shawn Davis,Florida,SS,70.63,202,9.5,31.875,,,17,39.5,128,,,
2021,Wyatt Davis,Ohio State,OG,75.63,315,9.125,33.875,,,25,,122,,,
2021,Zac Dawe,Brigham Young,DE,75,275,9,33.25,,4.96,33,29.5,112,4.55,7.09,
2021,Divine Deablo,Virginia Tech,SS,75.25,226,9.5,33,,4.45,19,34,126,4.45,7.01,
2021,Landon Dickerson,Alabama,C,77.63,333,10.375,33.25,,,,,106,,,
2021,Jon Dietzen,Wisconsin,OG,76.63,312,9.375,33.75,,,19,27,106,4.85,7.64,
2021,Victor Dimukeje,Duke,DE,73.5,262,9.5,33.125,,4.83,28,34.5,115,4.38,7.2,
2021,Gerrid Doaks,Cincinnati,RB,71.38,228,9.75,31,,4.58,19,39.5,120,4.28,7.21,
2021,Tommy Doyle,Miami (OH),OT,80,320,10.375,35.125,,5.12,24,33.5,111,4.57,7.42,
2021,Oscar Draguicevich,Washington State,P,69.38,188,9.25,29.875,,,,,134,,,
2021,Max Duffy,Kentucky,P,72.75,196,8.875,29.625,,,,,118,,,
2021,Keith Duncan,Iowa,K,69.38,176,8.25,28.5,,,,,135,,,
2021,Isaiah Dunn,Oregon State,CB,71.5,189,9,32,,4.38,13,35.5,127,4.14,6.91,
2021,Michael Dwumfour,Rutgers,DT,73.63,291,9.25,32,,5.1,19,32,108,4.44,7.26,
2021,Brandin Echols,Kentucky,CB,70.13,179,9.125,30.25,,4.36,13,42.5,136,4.12,6.84,
2021,Sam Ehlinger,Texas,QB,73.13,220,9.75,30.375,,4.84,,36.5,114,4.44,7.15,
2021,Liam Eichenberg,Notre Dame,OT,78.13,306,9.625,32.375,,,33,26.5,105,4.57,7.53,
2021,Milo Eifler,Illinois,OLB,74.13,228,8.5,32.75,,4.58,14,37,126,4.35,7.15,
2021,BJ Emmons,Florida Atlantic,RB,71.38,215,9.25,32.25,,4.59,21,36,120,4.14,6.89,
2021,DWayne Eskridge,Western Michigan,WR,68.75,190,9,30.125,,4.4,,35,124,4.27,6.95,
2021,Dorian Etheridge,Louisville,ILB,73.75,233,9.125,31.375,,4.88,19,35,121,4.46,7.25,
2021,Travis Etienne,Clemson,RB,70.13,215,9.375,30.125,,4.45,18,33.5,128,,,
2021,Nick Eubanks,Michigan,TE,76.5,245,9.75,33.25,,4.69,19,34,120,4.53,7.32,
2021,Chris Evans,Michigan,RB,71,211,10,32.5,,4.52,20,40.5,127,4.14,6.85,
2021,Austin Faoliu,Oregon,DT,75.13,287,9.75,32.75,,,,,133,,,
2021,Caleb Farley,Virginia Tech,CB,73,207,8.75,33.375,,,,,131,,,
2021,Matt Farniok,Nebraska,OG,77.25,311,9.625,33.25,,5.2,28,33,105,4.47,7.19,
2021,Luke Farrell,Ohio State,TE,77.5,251,9.25,33,,4.82,22,36.5,118,4.33,7.14,
2021,Joshua Fedd-Jackson,Virginia Union,OG,75.13,331,9.25,33.125,,5.62,13,24.5,99,5.18,8.38,
2021,Demetric Felton,UCLA,RB,68.63,189,9.375,31.375,,4.59,10,31.5,114,4.5,7.31,
2021,Parker Ferguson,Air Force,OG,75.75,306,9.25,32.875,,5.19,24,31,103,4.9,7.75,
2021,Justin Fields,Ohio State,QB,74.75,227,9.125,32.5,,4.46,,,119,,,
2021,Tony Fields,West Virginia,ILB,72.25,222,9,31.25,,4.64,17,34,114,4.48,7.15,
2021,Paddy Fisher,Northwestern,ILB,75.25,240,9.625,33.125,,4.91,20,31.5,110,4.47,7,
2021,Dez Fitzpatrick,Louisville,WR,73.75,208,9.625,32.75,,4.49,,35,100,4.25,7.06,
2021,Thomas Fletcher,Alabama,LS,72.75,236,9.625,31.5,,4.93,13,33.5,109,4.58,7.65,
2021,Paris Ford,Pittsburgh,SS,72.63,197,9.5,32.375,,4.85,,28.5,110,4.45,7.44,
2021,Darrick Forrest,Cincinnati,SS,71.5,206,9.75,32,,4.43,21,39,132,4.22,6.91,
2021,Miller Forristall,Alabama,TE,76.75,239,10.25,33,,4.79,20,35,118,4.45,7.03,
2021,Stone Forsythe,Florida,OT,80,307,10,34.375,,5.13,25,27.5,103,4.63,7.47,
2021,Feleipe Franks,Arkansas,QB,78.63,234,10,34,,4.61,,32.5,117,4.22,7.16,
2021,Pat Freiermuth,Penn State,TE,77,251,9.875,32.5,,,,,113,,,
2021,Will Fries,Penn State,OT,78.38,309,10.25,32.875,,5.38,24,31,115,4.51,7.75,
2021,Jake Funk,Maryland,RB,70.25,204,9,30.25,,4.49,22,38,122,4.12,6.71,
2021,Kenneth Gainwell,Memphis,RB,68.38,201,9.875,30.625,,4.47,21,35,121,4.46,7.26,
2021,Bailey Gaither,San Jose State,WR,72,188,9.25,31,,4.48,9,31,121,4.39,7.07,
2021,Blake Gallagher,Northwestern,OLB,71.75,228,9.125,31,,4.83,27,31.5,107,4.4,7.23,
2021,Chris Garrett,,OLB,75.5,241,9.625,33.125,,4.88,11,30,108,4.31,7.15,
2021,Mark Gilbert,Duke,CB,72.13,186,8.75,31.25,,4.48,13,36,130,4.38,7.1,
2021,Tyree Gillespie,Missouri,SS,71.75,207,9.625,31.25,,4.43,15,35.5,108,4.39,7.06,
